DATA;ANO;MÊS;MUNICÍPIO;PONTO;COLIFORMES;CLASSE
07/01/10;2010;JAN;NF;NF01;79;E
14/01/10;2010;JAN;NF;NF01;2;E
21/01/10;2010;JAN;NF;NF01;5;E
28/01/10;2010;JAN;NF;NF01;2;E
04/02/10;2010;FEV;NF;NF01;79;E
11/02/10;2010;FEV;NF;NF01;23;E
18/02/10;2010;FEV;NF;NF01;2;E
25/02/10;2010;FEV;NF;NF01;2;E
04/03/10;2010;MAR;NF;NF01;79;E
11/03/10;2010;MAR;NF;NF01;2;E
18/03/10;2010;MAR;NF;NF01;8;E
25/03/10;2010;MAR;NF;NF01;2;E
31/03/10;2010;MAR;NF;NF01;27;E
15/04/10;2010;ABR;NF;NF01;2;E
22/04/10;2010;ABR;NF;NF01;8;E
29/04/10;2010;ABR;NF;NF01;22;E
06/05/10;2010;MAI;NF;NF01;2;E
13/05/10;2010;MAI;NF;NF01;23;E
20/05/10;2010;MAI;NF;NF01;2;E
27/05/10;2010;MAI;NF;NF01;8;E
02/06/10;2010;JUN;NF;NF01;8;E
10/06/10;2010;JUN;NF;NF01;4;E
17/06/10;2010;JUN;NF;NF01;5;E
24/06/10;2010;JUN;NF;NF01;2;E
01/07/10;2010;JUL;NF;NF01;110;E
08/07/10;2010;JUL;NF;NF01;2;E
15/07/10;2010;JUL;NF;NF01;110;E
29/07/10;2010;JUL;NF;NF01;13;E
05/08/10;2010;AGO;NF;NF01;2;E
12/08/10;2010;AGO;NF;NF01;110;E
19/08/10;2010;AGO;NF;NF01;5;E
26/08/10;2010;AGO;NF;NF01;23;E
02/09/10;2010;SET;NF;NF01;70;E
09/09/10;2010;SET;NF;NF01;33;E
16/09/10;2010;SET;NF;NF01;2;E
23/09/10;2010;SET;NF;NF01;79;E
30/09/10;2010;SET;NF;NF01;11;E
07/10/10;2010;OUT;NF;NF01;2;E
14/10/10;2010;OUT;NF;NF01;2;E
21/10/10;2010;OUT;NF;NF01;5;E
28/10/10;2010;OUT;NF;NF01;2;E
04/11/10;2010;NOV;NF;NF01;23;E
11/11/10;2010;NOV;NF;NF01;2;E
18/11/10;2010;NOV;NF;NF01;2;E
25/11/10;2010;NOV;NF;NF01;2;E
02/12/10;2010;DEZ;NF;NF01;2;E
09/12/10;2010;DEZ;NF;NF01;2;E
30/12/10;2010;DEZ;NF;NF01;2;E
07/01/10;2010;JAN;NF;NF02;14;E
14/01/10;2010;JAN;NF;NF02;5;E
21/01/10;2010;JAN;NF;NF02;27;E
28/01/10;2010;JAN;NF;NF02;33;E
04/02/10;2010;FEV;NF;NF02;2;E
11/02/10;2010;FEV;NF;NF02;33;E
18/02/10;2010;FEV;NF;NF02;2;E
25/02/10;2010;FEV;NF;NF02;2;E
04/03/10;2010;MAR;NF;NF02;94;E
11/03/10;2010;MAR;NF;NF02;2;E
18/03/10;2010;MAR;NF;NF02;13;E
25/03/10;2010;MAR;NF;NF02;2;E
31/03/10;2010;MAR;NF;NF02;4;E
15/04/10;2010;ABR;NF;NF02;5;E
22/04/10;2010;ABR;NF;NF02;2;E
29/04/10;2010;ABR;NF;NF02;10;E
06/05/10;2010;MAI;NF;NF02;33;E
13/05/10;2010;MAI;NF;NF02;11;E
20/05/10;2010;MAI;NF;NF02;8;E
27/05/10;2010;MAI;NF;NF02;33;E
02/06/10;2010;JUN;NF;NF02;2;E
10/06/10;2010;JUN;NF;NF02;2;E
17/06/10;2010;JUN;NF;NF02;11;E
24/06/10;2010;JUN;NF;NF02;240;E
01/07/10;2010;JUL;NF;NF02;2;E
08/07/10;2010;JUL;NF;NF02;2;E
15/07/10;2010;JUL;NF;NF02;5;E
29/07/10;2010;JUL;NF;NF02;5;E
05/08/10;2010;AGO;NF;NF02;10;E
12/08/10;2010;AGO;NF;NF02;11;E
19/08/10;2010;AGO;NF;NF02;13;E
26/08/10;2010;AGO;NF;NF02;2;E
02/09/10;2010;SET;NF;NF02;79;E
09/09/10;2010;SET;NF;NF02;7;E
16/09/10;2010;SET;NF;NF02;13;E
23/09/10;2010;SET;NF;NF02;2;E
30/09/10;2010;SET;NF;NF02;4;E
07/10/10;2010;OUT;NF;NF02;2;E
